,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
394,4500,Semi-Furnished,60000,4,Independent House, Hyderabad,West Marredpally,4,East facing
395,1450,Semi-Furnished,64000,3,Apartment, Hyderabad,Kukatpally,3,East facing
396,4500,Semi-Furnished,79000,4,Apartment, Hyderabad,Somajiguda,4,East facing
397,1400,Semi-Furnished,54000,3,Apartment, Hyderabad,Kondapur,3,East facing
398,1200,Semi-Furnished,22000,2,Apartment, Hyderabad,Mehdipatnam,2,
399,1150,Semi-Furnished,22300,2,Apartment, Hyderabad,Upparpally,2,
400,3500,Furnished,124000,4,Apartment, Hyderabad,Gopanpally,4,
401,2293,Semi-Furnished,92000,4,Apartment, Hyderabad,Madhapur,4,East facing
402,1215,Semi-Furnished,34000,3,Apartment, Hyderabad,Kukatpally,2,East facing
403,1200,Semi-Furnished,34000,2,Apartment, Hyderabad,Hitech City,2,East facing
404,1700,Semi-Furnished,39000,3,Apartment, Hyderabad,Gachibowli,3,East facing
405,1200,Semi-Furnished,25000,2,Apartment, Hyderabad,Gachibowli,2,East facing
406,1358,Furnished,54039,3,Apartment, Hyderabad,Narsingi,3,East facing
407,1845,Semi-Furnished,51000,3,Apartment, Hyderabad,Narsingi,3,East facing
408,1100,Semi-Furnished,15000,2,Apartment, Hyderabad,Nallakunta,2,East facing
409,1750,Semi-Furnished,30000,3,Apartment, Hyderabad,Mahendra Hills,3,East facing
410,900,Furnished,15000,1,Apartment, Hyderabad,Nadergul,1,
411,1850,Semi-Furnished,55000,3,Apartment, Hyderabad,Manikonda,3,NorthEast facing
412,1800,Semi-Furnished,32000,3,Apartment, Hyderabad,Nallakunta,3,North facing
413,8300,Semi-Furnished,100000,1,Independent House, Hyderabad,Old Bowenpally,9,NorthEast facing
414,2200,Semi-Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,East facing
415,2300,Semi-Furnished,45000,3,Apartment, Hyderabad,Jubilee Hills,3,NorthEast facing
416,2500,Furnished,60000,3,Apartment, Hyderabad,Jubilee Hills,3,West facing
417,800,Semi-Furnished,16000,2,Apartment, Hyderabad,Jubilee Hills,2,South facing
418,2000,Semi-Furnished,57000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
419,2000,Semi-Furnished,31000,3,Apartment, Hyderabad,Tellapur,3,East facing
420,2400,Semi-Furnished,44000,3,Apartment, Hyderabad,Tellapur,3,East facing
421,2000,Semi-Furnished,69000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
422,1845,Semi-Furnished,50000,3,Apartment, Hyderabad,Gachibowli,3,East facing
423,2000,Semi-Furnished,64999,3,Apartment, Hyderabad,Nanakramguda,3,East facing
424,2160,Furnished,65000,3,Apartment, Hyderabad,Kokapet,3,East facing
